flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,submissionTime,versionId,linkedEvents,duration_minutes,flare_class,risk_level,hour,day,month,year,day_of_week,magnitude,flare_class_encoded
2024-01-01T08:33:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-01 08:33:00+00:00,2024-01-01 08:54:00+00:00,2024-01-01 09:04:00+00:00,M2.3,N03E70,13536.0,2024-01-01 13:28:00+00:00,1,,31.0,M,2,8,1,1,2024,0,2.3,1
2024-01-01T11:54:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-01 11:54:00+00:00,2024-01-01 12:25:00+00:00,2024-01-01 12:35:00+00:00,M4.7,N03E68,13536.0,2024-01-01 13:24:00+00:00,1,,41.0,M,2,11,1,1,2024,0,4.7,1
2024-01-02T18:02:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-02 18:02:00+00:00,2024-01-02 18:30:00+00:00,2024-01-02 18:56:00+00:00,M1.1,N05E59,13536.0,2024-01-02 19:34:00+00:00,2,[{'activityID': '2024-01-02T19:36:00-CME-001'}],54.0,M,2,18,2,1,2024,1,1.1,1
2024-01-04T01:08:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-04 01:08:00+00:00,2024-01-04 01:16:00+00:00,2024-01-04 01:22:00+00:00,M1.1,N02E38,13536.0,2024-01-04 01:44:00+00:00,1,,14.0,M,2,1,4,1,2024,3,1.1,1
2024-01-04T01:22:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-04 01:22:00+00:00,2024-01-04 01:55:00+00:00,2024-01-04 02:12:00+00:00,M3.8,N04E38,13536.0,2024-01-04 03:00:00+00:00,1,,50.0,M,2,1,4,1,2024,3,3.8,1
2024-01-06T05:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06 05:28:00+00:00,2024-01-06 05:37:00+00:00,2024-01-06 05:41:00+00:00,C3.3,N02E01,13536.0,2024-01-06 23:44:00+00:00,1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],13.0,C,1,5,6,1,2024,5,3.3,0
2024-01-06T05:41:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06 05:41:00+00:00,2024-01-06 05:47:00+00:00,2024-01-06 05:53:00+00:00,C3.8,N02E01,13536.0,2024-01-06 23:45:00+00:00,1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],12.0,C,1,5,6,1,2024,5,3.8,0
2024-01-06T05:53:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06 05:53:00+00:00,2024-01-06 05:59:00+00:00,2024-01-06 06:04:00+00:00,C4.1,N02E03,13536.0,2024-01-06 23:45:00+00:00,1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],11.0,C,1,5,6,1,2024,5,4.1,0
2024-01-06T06:06:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06 06:06:00+00:00,2024-01-06 06:15:00+00:00,2024-01-06 06:21:00+00:00,C4.0,N01E11,13536.0,2024-01-06 23:45:00+00:00,1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],15.0,C,1,6,6,1,2024,5,4.0,0
2024-01-10T12:39:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10 12:39:00+00:00,2024-01-10 12:55:00+00:00,2024-01-10 13:05:00+00:00,M1.4,S20E90,13549.0,2024-01-16 15:45:00+00:00,4,,26.0,M,2,12,10,1,2024,2,1.4,1
2024-01-10T18:56:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10 18:56:00+00:00,2024-01-10 19:07:00+00:00,2024-01-10 19:16:00+00:00,C6.5,N10W52,13536.0,2024-01-10 23:26:00+00:00,1,[{'activityID': '2024-01-10T19:36:00-CME-001'}],20.0,C,1,18,10,1,2024,2,6.5,0
2024-01-10T20:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10 20:28:00+00:00,2024-01-10 20:41:00+00:00,2024-01-10 21:00:00+00:00,C5.6,N12E90,,2024-01-11 21:22:00+00:00,1,[{'activityID': '2024-01-10T21:09:00-CME-001'}],32.0,C,1,20,10,1,2024,2,5.6,0
2024-01-10T23:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10 23:18:00+00:00,2024-01-10 23:28:00+00:00,2024-01-10 23:35:00+00:00,M1.9,N22W80,13538.0,2024-01-10 23:45:00+00:00,2,,17.0,M,2,23,10,1,2024,2,1.9,1
2024-01-11T08:07:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11 08:07:00+00:00,2024-01-11 08:20:00+00:00,2024-01-11 08:41:00+00:00,C4.1,N08E62,,2025-03-12 14:13:00+00:00,1,[{'activityID': '2024-01-11T08:48:00-CME-001'}],34.0,C,1,8,11,1,2024,3,4.1,0
2024-01-11T12:44:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11 12:44:00+00:00,2024-01-11 12:51:00+00:00,2024-01-11 12:55:00+00:00,M1.3,N19W88,13538.0,2024-01-11 13:22:00+00:00,1,,11.0,M,2,12,11,1,2024,3,1.3,1
2024-01-11T17:49:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11 17:49:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 17:59:00+00:00,M1.5,N09W55,13539.0,2024-01-11 18:03:00+00:00,1,,10.0,M,2,17,11,1,2024,3,1.5,1
2024-01-11T19:08:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11 19:08:00+00:00,2024-01-11 19:23:00+00:00,2024-01-11 19:49:00+00:00,M1.2,N19W90,13538.0,2024-01-11 20:00:00+00:00,2,,41.0,M,2,19,11,1,2024,3,1.2,1
