flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications
2024-01-01T08:33:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-01T08:33Z,2024-01-01T08:54Z,2024-01-01T09:04Z,M2.3,N03E70,13536.0,,2024-01-01T13:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28428/-1,,
2024-01-01T11:54:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-01T11:54Z,2024-01-01T12:25Z,2024-01-01T12:35Z,M4.7,N03E68,13536.0,,2024-01-01T13:24Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28427/-1,,
2024-01-02T18:02:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-02T18:02Z,2024-01-02T18:30Z,2024-01-02T18:56Z,M1.1,N05E59,13536.0,,2024-01-02T19:34Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28438/-1,[{'activityID': '2024-01-02T19:36:00-CME-001'}],
2024-01-04T01:08:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-04T01:08Z,2024-01-04T01:16Z,2024-01-04T01:22Z,M1.1,N02E38,13536.0,,2024-01-04T01:44Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28470/-1,,
2024-01-04T01:22:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-04T01:22Z,2024-01-04T01:55Z,2024-01-04T02:12Z,M3.8,N04E38,13536.0,,2024-01-04T03:00Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28471/-1,,
2024-01-06T05:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T05:28Z,2024-01-06T05:37Z,2024-01-06T05:41Z,C3.3,N02E01,13536.0,,2024-01-06T23:44Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28511/-1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],
2024-01-06T05:41:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T05:41Z,2024-01-06T05:47Z,2024-01-06T05:53Z,C3.8,N02E01,13536.0,,2024-01-06T23:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28512/-1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],
2024-01-06T05:53:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T05:53Z,2024-01-06T05:59Z,2024-01-06T06:04Z,C4.1,N02E03,13536.0,,2024-01-06T23:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28513/-1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],
2024-01-06T06:06:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-06T06:06Z,2024-01-06T06:15Z,2024-01-06T06:21Z,C4.0,N01E11,13536.0,,2024-01-06T23:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28514/-1,[{'activityID': '2024-01-06T08:12:00-CME-001'}],
2024-01-10T12:39:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T12:39Z,2024-01-10T12:55Z,2024-01-10T13:05Z,M1.4,S20E90,13549.0,"At the time of the flare, this flare was associated with an unnumbered active region beyond the SE limb. This region was later numbered AR 13549 on 2024-01-12.",2024-01-16T15:45Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28538/-1,,
2024-01-10T18:56:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T18:56Z,2024-01-10T19:07Z,2024-01-10T19:16Z,C6.5,N10W52,13536.0,,2024-01-10T23:26Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28556/-1,[{'activityID': '2024-01-10T19:36:00-CME-001'}],
2024-01-10T20:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T20:28Z,2024-01-10T20:41Z,2024-01-10T21:00Z,C5.6,N12E90,,Source is beyond the eastern limb.,2024-01-11T21:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28576/-1,[{'activityID': '2024-01-10T21:09:00-CME-001'}],
2024-01-10T23:18:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-10T23:18Z,2024-01-10T23:28Z,2024-01-10T23:35Z,M1.9,N22W80,13538.0,,2024-01-10T23:45Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28559/-1,,
2024-01-11T08:07:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T08:07Z,2024-01-11T08:20Z,2024-01-11T08:41Z,C4.1,N08E62,,,2025-03-12T14:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/37788/-1,[{'activityID': '2024-01-11T08:48:00-CME-001'}],
2024-01-11T12:44:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T12:44Z,2024-01-11T12:51Z,2024-01-11T12:55Z,M1.3,N19W88,13538.0,,2024-01-11T13:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28560/-1,,
2024-01-11T17:49:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T17:49Z,2024-01-11T17:52Z,2024-01-11T17:59Z,M1.5,N09W55,13539.0,,2024-01-11T18:03Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28561/-1,,
2024-01-11T19:08:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-11T19:08Z,2024-01-11T19:23Z,2024-01-11T19:49Z,M1.2,N19W90,13538.0,,2024-01-11T20:00Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28562/-1,,
2024-01-12T02:55:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-12T02:55Z,2024-01-12T02:58Z,2024-01-12T03:02Z,M1.0,N18E18,13547.0,,2024-01-12T14:59Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28583/-1,,
2024-01-14T11:30:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-14T11:30Z,2024-01-14T12:06Z,2024-01-14T12:26Z,C9.6,N01W90,13543.0,"Flare appears to occur over the west limb slightly, in a range W90-W110 as we see most of it peeking around the limb. Potentially associated with AR 3536 or 3543 which recently rotated off the disk, but AR 3543 is believed to be the most likely candidate.",2024-01-16T16:38Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28610/-1,[{'activityID': '2024-01-14T12:00:00-CME-001'}],
2024-01-17T05:05:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-17T05:05Z,2024-01-17T05:23Z,2024-01-17T05:39Z,C1.7,N27E87,,,2025-02-06T21:46Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/36901/-1,[{'activityID': '2024-01-17T05:12:00-CME-001'}],
2024-01-20T08:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-20T08:35Z,2024-01-20T09:34Z,2024-01-20T10:32Z,C3.5,S15E20,,Associated with post-eruptive arcades. Situated between Active Region 13557 (S13E29) and Active Region 13555 (S11E10).,2024-01-20T16:34Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28653/-1,"[{'activityID': '2024-01-20T09:24:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",
2024-01-21T00:03:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-21T00:03Z,2024-01-21T00:27Z,2024-01-21T00:35Z,C4.0,N20E41,13559.0,,2024-01-21T16:08Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28667/-1,"[{'activityID': '2024-01-21T00:36:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",
2024-01-21T00:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-21T00:35Z,2024-01-21T00:41Z,2024-01-21T00:55Z,C5.3,N28E42,13559.0,,2024-01-21T16:09Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28668/-1,"[{'activityID': '2024-01-21T00:36:00-CME-001'}, {'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",
2024-01-22T06:09:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-01-22T06:09Z,2024-01-22T06:22Z,2024-01-22T06:30Z,M1.5,N27E27,13559.0,,2024-01-22T13:19Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28682/-1,"[{'activityID': '2024-01-22T13:00:00-SEP-001'}, {'activityID': '2024-01-22T13:42:00-SEP-001'}, {'activityID': '2024-01-22T16:48:00-SEP-001'}]",
